2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,39,39,39,39,39,39,39,39,40,43,47,50,52,54
0,55,55,55,55,55,55,55,58,62,66,70,70,68,68
3,26,26,26,26,26,26,26,26,26,30,34,38,40,40
4,18,18,18,18,18,18,18,18,18,18,18,20,23,26
4,46,46,46,46,46,46,46,46,46,46,46,48,52,53
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,47,47,47,47,47,47,47,47,49,51,56,59,58,57
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,74,74,74,74,74,74,76,80,84,88,91,92,93,95
8,29,29,29,29,29,29,29,29,29,29,29,30,33,33
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,14,14,14,14,14,14,15,17,22,26,30,34,37
2,63,63,63,63,63,63,63,65,68,70,73,74,73,71
2,36,36,36,36,36,36,38,39,41,41,42,41,41,42
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,48,48,48,48,48,48,48,48,53,57,61,63,67
3,28,28,28,28,28,28,28,28,28,29,32,32,36,39
3,23,23,23,23,23,23,23,23,23,23,23,23,25,24
8,14,14,14,14,14,14,14,14,14,14,16,18,19,18
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,43,43,43,43,43,43,43,43,43,46,49,52,54,54
4,40,40,40,40,40,40,40,40,40,43,47,51,53,55
0,22,22,22,22,22,22,22,22,22,23,24,28,28,28
4,36,36,36,36,36,36,36,36,36,36,36,37,41,43
4,44,44,44,44,44,44,44,44,44,44,46,50,51,52
8,19,19,19,19,19,19,19,19,19,21,24,27,31,35
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,85,85,85,85,85,85,85,85,85,85,86,86,86,87
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,74,74,74,74,74,74,74,78,81,84,87,88,89,89
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26,26,26,26,26,26,26,26,26,26,28,29,31,31
2,26,26,26,26,26,26,26,26,26,26,26,26,26,26
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,7,7,7,7,7,7,7,7,7,7,9,9,9
4,64,64,64,64,64,64,64,64,65,70,73,75,77,79
2,59,59,59,59,59,59,59,63,67,72,76,80,81,85
1,43,43,43,43,43,43,43,43,43,47,50,54,58,62
6,35,35,35,35,35,35,35,35,35,35,35,38,42,45
0,37,37,37,37,37,37,39,40,40,39,39,42,45,48
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,44,44,44,44,44,44,44,44,47,49,51,52,53,53
0,37,37,37,37,37,37,37,38,40,42,44,45,45,45
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,39,39,39,39,39,39,39,39,41,43,45,47,46,47
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
